"Forma de uso: Filtra por la pestaña ""Tipo"" (Columna C). Te saldrán todos los productos asociados.",,,,,
Nombre,Producto,Cristal,Máximo,Ubicación,Equipo
HABILIDADES,,,,,
Bolsa viscosa de bestia del caos,Piruetas,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Antenas de grilio,Saltar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Púas de salamandra,Saber arcano,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Corazón negro de pesadilla,Enganar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Excrecencia ósea de abolez mago,Saber local,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Flautín de sátiro,Interpretar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Firmeza de titán,Intimidar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Plumazón de roc,Buscar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Mudez de birlador etéreo,Juego de manos,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Protección de solar,Sanar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Cabello de ghaele,Saber otros,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Pico de águila gigante,Avistar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Presa de búho gigante,Escuchar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Instrucciones telepáticas de formícida reina,Diplomacia,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Elasticidad de fasmo,Saber religion,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Siseo de ahogador,Moverse sigilosamente,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Cresta de dragón tortuga,Concentracion,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Belleza cegadora de ninfa,Trato con animales,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Silueta serpentiforme de behir,Inutilizar mecanismo,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Pezuña de pegaso,Esconderse,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Castigo de nálfeshni,Conocimiento de conjuros,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Pigmentación de mimeto,Usar objeto magico,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Estragos de quimera,Tasacion,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Cadenas de kiton,Artesania,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Músculos de planotáreo,Nadar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Concha de tojánida,Abrir cerraduras,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Gracia de sirénido,Montar,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Podredumbre de babau,Poner trampas,Nishruu,7,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
CARACTERÍSTICAS,,,,,
Ímpetu de gigante de la niebla,Fuerza,Fénix,6,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Dentina de bestia oscurecida,Destreza,Fénix,6,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Caparazón de ankheg,Constitucion,Fénix,6,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Astucia de arpía,Inteligencia,Fénix,6,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Ojos rojos de medusa,Sabiduria,Fénix,6,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Encanto de dríada,Carisma,Fénix,6,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
SALVACIONES,,,,,
Descomposición de broza movediza,TS relámpago,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Lengua bífida de Yuan-ti,TS veneno,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Resistencia de slaad,TS trueno,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Aleteo de sagifalco juvenil,TS ácido,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Brillo de magmino,TS fuego,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Eteriedad de serpiente de hielo,TS frio,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Consunción de incorpóreo aterrador,TS necrótico,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
