Metal,Propiedades - Arcos,Propiedades - Ballestas,Propiedades - Virotes,Propiedades - Flechas,Propiedades -Clavas,Propiedades -Bastones,Propiedades- Escudos
Nivel 1 (8 ó menos),,,,,,,
Pino,"Mejora 1, Reforzado 2, 1d4 Criticos Masivos","Mejora 1, Reforzado 2, 1d4 Criticos Masivos",1d4 Contundente,1d4 Contundente,"1 mejora, Afiladura","1 mejora, Afiladura","CA1, 5& Reducción Fallo conjuro"
Cedro,"1d4 Cortante, Afilado, 1d4 Criticos Masivos","1d4 Cortante, Afilado, 1d4 Criticos Masivos",1d6 Contundente,1d6 Contundente,"2 mejora, Afiladura","2 mejora, Afiladura","CA 2, 5% Reducción Fallo conjuro"
Nivel 2 (12 ó menos),,,,,,,
Abeto,"Ataque 4, Reforzado 3, 1d6 Criticos Masivos","Ataque 4, Reforzado 3, 1d6 Criticos Masivos","1d8 Cortante, Ralentizar CD 14","1d8 Cortante, Ralentizar CD 14","3 Mejora, Afiladura","3 Mejora, Afiladura","CA3, 5% Reducción Fallo conjuro"
Roble,"Ataque 4, Afilado, 1d6 Criticos Masivos","Ataque 4, Afilado, 1d6 Criticos Masivos","1d8 Contundente, Ralentizar CD 14","1d8 Contundente, Ralentizar CD 14","3 Mejora, 1d6 Cortante","3 Mejora, 1d6 Cortante","CA 3, 10% Resistencia Ácido"
Nivel 3  (16 ó menos),,,,,,,
Sombralto,"Mejora 5, Afilado","Ataque 5, Afilado, 1d8 Criticos Masivos",-,-,"5 Ataque, Afiladura","5 Ataque, Afiladura","CA 4, Inmunidad 5% Contundente"
Leñocaso,"Mejora 5, Reforzado 4","Ataque 5, Reforzado 4, 1d6 Físico","1d8 Contundente, 1d4 Ácido CD 16 Ralentizar","1d8 Contundente, 1d4 Ácido CD 16 Ralentizar","5 Ataque, 1d8 Ácido","5 Ataque, 1d8 Ácido","CA 4, 20% Resistencia Fuego"
Nivel 4  (16 o más),,,,,,,
Zalantar,"Mejora 5, 1d10 Criticos masivos","Mejora 5, 1d10 Criticos masivos","1d10 Cortante, CD 16 Aturdir","1d10 Cortante, CD 16 Aturdir","Mejora 5, 1d10 Criticos masivos","Mejora 5, 1d10 Criticos masivos","CA 5, 20% Resistencia Ácido"
Maderadique,"Mejora 5, 1d10 daño físico","Mejora 5, 1d10 daño físico","1d10 Contundente, CD 16 Aturdir","1d10 Contundente, CD 16 Aturdir","5 Mejora, 1d10 Daño físico","5 Mejora, 1d10 Daño físico","CA 5, 20% Resistencia Fuego"
