Metal,Propiedades - Armas,Propiedades - Armaduras,Propiedades - Escudos,Propiedades - Cascos,Propiedades - Municion
Nivel 1 (8 ó menos),,,,,
Cobre,-,-,-,-,-
Hierro,Mejora +1 | Daño Fisico +2,Resistencia 10 % Frio,Resistencia 10 % Frio,Resistencia 10 % Frio,1d4 Daño fisico
Acero,Mejora +2 | Daño Fisico +2,3 CA,3 CA,3 CA,4 Daño fisico
Nivel 2 (12 ó menos),,,,,
Plata,Mejora +5 vs Malignos | 1d4 Radiante (vs Malignos),4 CA maligno | 10 % Electricidad,4 CA maligno | 10 % Electricidad,4 CA maligno | 10 % Electricidad,1d6 radiante malignos
Hierrofrio,Mejora +5 vs Fatas | 2d6 Magico (vs Fatas),5 CA fatas | 10% frio,5 CA fatas | 10% frio,5 CA fatas | 10% frio,1d10 fuerza fatas
Oro,Mejora +5 vs Muertos Vivientes | 1d8 Ácido (vs Undeads),3 CA| 10 % Acido,3 CA | 10 % Acido,3 CA | 10 % Acido,1d10 Acido no-muertos
Platino,Mejora +3 | 1d6 (Trueno),3 CA | 10 % Trueno |,3 CA | 10 % Trueno |,3 CA | 10 % Trueno |,1d6 Trueno | Silencio CD14
Hierro Enardecido,Mejora +3 | 1d6 (Fuego),3 CA | 10 % Fuego,3 CA | 10 % Fuego,3 CA | 10 % Fuego,1d10 Fuego
Nivel 3  (16 ó menos),,,,,
Aceroscuro,Mejora +5 | 1d4 (Fuerza),4 CA | 20 % Relámpago,4 CA | 20 % Relámpago,4 CA | 20 % Relámpago,1d8 Fuerza
Dlarun,Mejora +5 | 1d6 (Frio),4 CA | 20 % Frío,4 CA | 20 % Frío,4 CA | 20 % Frío,1d10 Frío
Hizagkuur,Mejora +5 | 1d6 (Relámpago),4 CA  | 20 % Fuerza,4 CA  | 20 % Fuerza,4 CA  | 20 % Fuerza,1d10 Relámpago
Arandur,Mejora +5 | Afilada,4 CA | 10 % Contundente,4 CA | 10 % Perforante,4 CA | 10 % Cortante,1d8 fisico | Aturdir CD 14
Nivel 4  (16 o más),,,,,
Metal Vivo,Mejora +5 | Reg Vampirica +5,4 o 5 CA | 1 Regeneracion,4 o 5 CA | 1 Regeneracion,4 o 5 CA | 1 Regeneracion,1d10 fisico | 5 reg vampirica
Mithril,Mejora +5 | 1d6 (Fuerza),4 o 5 CA | -30% Fallo Conjuro,4 o 5 CA | -25% Fallo Conjuro,4 o 5 CA | -20% Fallo Conjuro,1d6 Fuerza | Aturdir CD 14 |
Adamantita,Mejora +5 | 1d10 (Opuesto Fisico),4 o 5 CA | 20% Cortante,4 o 5 CA | 20% Contundente,4 o 5 CA | 20% Perforante,1d10 daño fisico | Aturdir CD 14 
