Gema TALLADA,Propiedades
Cuarzo hilaino,Tirada de Salvación contra Frío 3        
Obsidiana,Tirada de Salvación contra Ácido 3        
Topacio,Tirada de Salvación contra Fuego 3        
Amatista,Tirada de Salvación contra Eléctrico 3        
Azabache,Tirada de Salvación contra Energía Positiva 3        
Jade de tumba,Conjuro Bardo Esfera 2 /2        
Ópalo,Conjuro Hechicero Esfera 4/2        
Lágrima Roja,Conjuro Druida Esfera 4/2        
Opalo negro,Conjuro CLérigo Esfera 4/2        
Orblen,Conjuro Mago Esfera 4/2        
Opalo de fuego,Inmune Fuego 20%    
Corvidar,Inmune Ácido 20%      
Beljuril,Inmune Eléctrico 20%     
Orlo,Inmune Frío 20%
Zafiro,Resistencia de Conjuros 18        
Ópalo de agua,CA 3
Zendalur,Tirada de Salvación contra Muerte 3        
Barra lunar,Tirada de Salvación contra Enajenadores 3        
Jacinto,Conjuro Druida Esfera 6/2        
Amarazha,Conjuro Mago Esfera 6/2        
Piedra pícara,"Conjuro Bardo Esfera 3, Esfera 4        "
Esmeralda,Conjuro Hechicero Esfera 6/2
Zafiro negro,Conjuro Clérigo Esfera 6/2        
Diamante,CA 4
Rubí,Inmunidad al daño cortante 20%
Lágrima del rey,Regeneración 1        
Zafiro Estrella,CA 5
Rubí estrella,Tirada Salvación Universal 2        
