Piel,Propiedades - Armadura,Propiedades - Cinturón,Propiedades - Capa,Propiedades - Botas,Propiedades - Brazales,Propiedades - Guantes,NOTAS
Nivel 1 (8 ó menos),,,,,,,
Piel de Roedor,Cortante 10%,Contundente 10%,Perforante 10%,Contundente 10%,Cortante 10%,1d4 perforante ,
Piel de hervíboro,"CA 2, Perforante 10%","CA 2, Contundente 10%","CA 2, Cortante 10%","CA 2, Contundente 10%","CA 2, Cortante 10%",1d4 cortante,
Nivel 2 (12 ó menos),,,,,,,
Piel de bestia salvaje,20 % Frio,CA 3,20 % Frio,CA 3,20 % Frio,"3 Mejora, afilado",
Piel de bestia salvaje grande,"CA 3, Perforante 10%","CA 3, Contundente 10%","CA 3, Cortante 10%","CA 3, Contundente 10%","CA 3, Cortante 10%",1d4 mágico,
Nivel 3  (16 ó menos),,,,,,,
Piel de bestia mítica,"CA 4, Res 10% Fuego",Res 20% Fuego,Res 20% Acido,"CA 4, Res 10% Electricidad",Res 20% Electricidad,"5 mejora, afilado",
Piel de bestia mítica gruesa,"CA 4, Perforante 20%","CA 4, Contundente 20%","CA 4, Cortante 20%","CA 4, Contundente 20%","CA 4, Cortante 10%","5 mejora, 1d4 psíquico",
Nivel 4  (16 o más),,,,,,,
Piel de dragón de fuego,"CA 5, Res 20% Fuego","CA 5, Res 20% Fuego","CA 5, Res 20% Fuego","CA 5, Res 20% Fuego","CA 5, Res 20% Fuego","5 mejora, 1d10 fuego","No hay dragones oropel o dorado ahora mismo en el servidor matables, solo fuego."
Piel de dragón de hielo,"CA 5, Res 20% Frio","CA 5, Res 20% Frio","CA 5, Res 20% Frio","CA 5, Res 20% Frio","CA 5, Res 20% Frio","5 mejora, 1d10 frio","No hay dragon de plata ahora mismo en el servidor matables, solo blanco."
Piel de dragón de ácido,"CA 5, Res 20% Ácido","CA 5, Res 20% Ácido","CA 5, Res 20% Ácido","CA 5, Res 20% Ácido","CA 5, Res 20% Ácido","5 mejora, 1d10 ácido","No hay dragones de cobre o verde ahora mismo en el servidor matables, solo negro."
Piel de dragón de rayo,"CA 5, Res 20% Electricidad","CA 5, Res 20% Electricidad","CA 5, Res 20% Electricidad","CA 5, Res 20% Electricidad","CA 5, Res 20% Electricidad","5 mejora, 1d10 relámpago","No hay dragones azules o de bronce ahora mismo en el servidor matables, esta piel no se puede conseguir."
