Nivel,Componente1,Componente2,Componente3,Resultado,Tipo,Salvación,Manejo,Primario,Secundario
,Limo Putrefacto,Especia Sulfurosa,N/A,Seta Listada,Ingestión,11,9,1 SAB,2d6 SAB
,Limo Putrefacto,Esencia Invisible,N/A,Veneno de ciempiés pequeño,Herida,11,9,1d2 DES,1d2 DES
,Limo Putrefacto,Limo Putrefacto,N/A,Veneno de víbora negra,Herida,12,10,N/A,1d6 FUE
,Viruta Resplandeciente,Limo Putrefacto,N/A,Raíz de Sanguinaria,Herida,12,10,1d6 SAB,1d4 SAB
,Limo Putrefacto,Humo Gaseoso,N/A,Vomicalia,Contacto,13,10,N/A,3d6 CON
,Limo Putrefacto,Viruta Resplandeciente,N/A,Aceite de sangreverde,Herida,13,10,1 CON,Inconsciencia
,Limo Putrefacto,Picada Rocosa,N/A,Arsénico,Ingestión,13,10,1CON,2d8 CON
,Especia Sulfurosa,Limo Putrefacto,Pasta Terrosa,Relinchos Azules,Herida,14,11,1 CON,Inconsciencia
,Zumo Acuoso,Limo Putrefacto,Esencia Invisible,Veneno de Araña,Herida,14,11,1d4 INT,2d6 INT
,Zumo Acuoso,Especia Sulfurosa,Limo Putrefacto,Musgo del Yo,Ingestión,14,11,1d4 INT,2d6 INT
,Limo Putrefacto,Pasta Terrosa,Zumo Acuoso,Aceite de gárrala,Ingestión,15,12,N/A,Inconsciencia
,Zumo Acuoso,Limo Putrefacto,Especia Sulfurosa,Polvo de Ungol,Inhalación,15,12,1 CAR,1d6 CAR
,Limo Putrefacto,Humo Gaseoso,Viruta Resplandeciente,Niebla del caos,Inhalación,15,12,1d4 SAB,2d6 SAB
,Zumo Acuoso,Pasta Terrosa,Limo Putrefacto,Pasta de raíz de viraguia,Contacto,16,13,1 DES,2d4 DES
,Limo Putrefacto,Limo Putrefacto,Limo Putrefacto,Raiz de terinav,Contacto,16,13,1d6 DES,2d6 DES
,Limo Putrefacto,Pasta Terrosa,Limo Putrefacto,Residuo de hoja de cativera,Contacto,16,13,2d12 HP,1d6 CON
,Limo Putrefacto,Especia Sulfurosa,Pasta Terrosa,Veneno de draco,Herida,17,14,2d6 CON,2d6 CON
,Limo Putrefacto,Zumo Acuoso,Especia Sulfurosa,Polvo de Liche,Ingestión,17,14,2d6 FUE,1d6 FUE
,Pasta Terrosa,Pasta Terrosa,Limo Putrefacto,Esencia de sombra,Herida,17,14,1 FUE,2d6 FUE
,Limo Putrefacto,Viruta Resplandeciente,Limo Putrefacto,Veneno de avispa gigante,Herida,18,14,1d6 DES,1d6 DES
,Limo Putrefacto,Picada Rocosa,Especia Sulfurosa,Veneno de escorpión,Herida,18,14,1d6 FUE,1d6 FUE
,Limo Putrefacto,Pasta Terrosa,Picada Rocosa,Pólvoras de asaltante oscuro,Ingestión,18,14,2d6 CON,2d6 CON
,Limo Putrefacto,Viruta Resplandeciente,Picada Rocosa,Efluvios somarreros,Inhalación,18,14,1 CON,3d6 CON
,Especia Sulfurosa,Especia Sulfurosa,Limo Putrefacto,Hoja mortal,Herida,20,16,1d6 CON,2d6 CON
,Picada Rocosa,Especia Sulfurosa,Limo Putrefacto,Extracto de loto negro,Contacto,20,16,3d6 CON,3d6 CON
,Esencia Invisible,Limo Putrefacto,Zumo Acuoso,Veneno de gusano púrpura,Herida,24,19,1d6 FUE,1d6 FUE
,Limo Putrefacto,Humo Gaseoso,Especia Sulfurosa,Bilis de dragón,Contacto,26,21,3d6 FUE,N/A
