resource,path,palette,tag,template_resref,original_base,original_label,original_limit,role,action,shop_copies,planned_base
carp_hl,src/shared/uti/carp_hl.uti.json,,carp_hl,carp_hl,18,greataxe,1,tool,dedicated_stack_10,1,521
carp_hlp,src/shared/uti/carp_hlp.uti.json,,carp_hlp,carp_hlp,38,handaxe,1,tool,dedicated_stack_10,1,528
cnr_b_2bsword,src/cnr/uti/cnr_b_2bsword.uti.json,CNR - Bases,cnr_b_2bsword,cnr_b_2bsword,12,twobladedsword,1,equipment,retain_equipment_limit,0,12
cnr_b_adagger,src/cnr/uti/cnr_b_adagger.uti.json,CNR - Bases,cnr_b_adagger,cnr_b_adagger,309,daggerassn,1,equipment,retain_equipment_limit,0,309
cnr_b_arrow,src/cnr/uti/cnr_b_arrow.uti.json,CNR - Bases,cnr_b_arrow,cnr_b_arrow,20,arrow,99,equipment,retain_equipment_limit,0,20
cnr_b_baxe,src/cnr/uti/cnr_b_baxe.uti.json,CNR - Bases,cnr_b_baxe,cnr_b_baxe,2,battleaxe,1,equipment,retain_equipment_limit,0,2
cnr_b_belt,src/cnr/uti/cnr_b_belt.uti.json,CNR - Bases,cnr_b_belt,cnr_b_belt,361,belt_shield,1,equipment,retain_equipment_limit,0,361
cnr_b_bolt,src/cnr/uti/cnr_b_bolt.uti.json,CNR - Bases,cnr_b_bolt,cnr_b_bolt,25,bolt,99,equipment,retain_equipment_limit,0,25
cnr_b_boots,src/cnr/uti/cnr_b_boots.uti.json,CNR - Bases,cnr_b_boots,cnr_b_boots,26,boots,1,equipment,retain_equipment_limit,0,26
cnr_b_bracer,src/cnr/uti/cnr_b_bracer.uti.json,CNR - Bases,cnr_b_bracer,cnr_b_bracer,78,bracer,1,equipment,retain_equipment_limit,0,78
cnr_b_bsword,src/cnr/uti/cnr_b_bsword.uti.json,CNR - Bases,cnr_b_bsword,cnr_b_bsword,3,bastardsword,1,equipment,retain_equipment_limit,0,3
cnr_b_bullet,src/cnr/uti/cnr_b_bullet.uti.json,CNR - Bases,cnr_b_bullet,cnr_b_bullet,27,bullet,99,equipment,retain_equipment_limit,0,27
cnr_b_cloak,src/cnr/uti/cnr_b_cloak.uti.json,CNR - Bases,cnr_b_cloak,cnr_b_cloak,80,cloak,1,equipment,retain_equipment_limit,0,80
cnr_b_cloth,src/cnr/uti/cnr_b_cloth.uti.json,CNR - Bases,cnr_b_cloth,cnr_b_cloth,16,armor,1,equipment,retain_equipment_limit,0,16
cnr_b_club,src/cnr/uti/cnr_b_club.uti.json,CNR - Bases,cnr_b_club,cnr_b_club,28,club,1,equipment,retain_equipment_limit,0,28
cnr_b_dagger,src/cnr/uti/cnr_b_dagger.uti.json,CNR - Bases,cnr_b_dagger,cnr_b_dagger,22,dagger,1,equipment,retain_equipment_limit,0,22
cnr_b_dart,src/cnr/uti/cnr_b_dart.uti.json,CNR - Bases,cnr_b_dart,cnr_b_dart,31,dart,50,equipment,retain_equipment_limit,0,31
cnr_b_daxe,src/cnr/uti/cnr_b_daxe.uti.json,CNR - Bases,cnr_b_daxe,cnr_b_daxe,33,doubleaxe,1,equipment,retain_equipment_limit,0,33
cnr_b_dmace,src/cnr/uti/cnr_b_dmace.uti.json,CNR - Bases,cnr_b_dmace,cnr_b_dmace,32,diremace,1,equipment,retain_equipment_limit,0,32
cnr_b_dscim,src/cnr/uti/cnr_b_dscim.uti.json,CNR - Bases,cnr_b_dscim,cnr_b_dscim,321,scimitar_double,1,equipment,retain_equipment_limit,0,321
cnr_b_dwaxe,src/cnr/uti/cnr_b_dwaxe.uti.json,CNR - Bases,cnr_b_dwaxe,cnr_b_dwaxe,108,dwarvenwaraxe,1,equipment,retain_equipment_limit,0,108
cnr_b_falchn,src/cnr/uti/cnr_b_falchn.uti.json,CNR - Bases,cnr_b_falchn,cnr_b_falchn,305,falchion,1,equipment,retain_equipment_limit,0,305
cnr_b_gaxe,src/cnr/uti/cnr_b_gaxe.uti.json,CNR - Bases,cnr_b_gaxe,cnr_b_gaxe,18,greataxe,1,equipment,retain_equipment_limit,0,18
cnr_b_gloves,src/cnr/uti/cnr_b_gloves.uti.json,CNR - Bases,cnr_b_gloves,cnr_b_gloves,36,gloves,1,equipment,retain_equipment_limit,0,36
cnr_b_gsword,src/cnr/uti/cnr_b_gsword.uti.json,CNR - Bases,cnr_b_gsword,cnr_b_gsword,13,greatsword,1,equipment,retain_equipment_limit,0,13
